First Name,Email ID,Quantity,Events,Attendee Status,College Name,How did you come to know about this event?,"Specify in ""Others"" (how did you come to know about this event)",Designation,Year of Graduation,City,CGPA,Experience with python (Months),Family Income,Expected salary (Lac),Leadership- skills,Average cgpa=,8.038475685
Saba,saba@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2023,Gaya,9.5,7,0-2 Lakh,20,yes,,
Apurva ,apurva@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Others,,Students,2024,Haijipur,9.8,5,0-2 Lakh,5,yes,,
Tanmay,tanmay@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Cloud Counselage Website,,Students,2025,Kaithar,9.6,5,0-2 Lakh,9,no,,
SUMIT,sumit@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,,Students,2025,Motihari,6.2,5,0-2 Lakh,5,no,,
Shubham ,shubham@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Others,College,Students,2024,Munger,9.1,7,0-2 Lakh,21,yes,,
Shreyas,shreyas@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,,Students,2026,Patna,7.2,5,0-2 Lakh,9,no,,
Shivani,shivani@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Others,College,Students,2023,Muzaffarpur,9.5,5,0-2 Lakh,13,no,,
Swapnil,swapnil@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Whatsapp,,Students,2025,Sasaram,6.8,3,0-2 Lakh,15,no,,
Manasi ,manasi@xyz.com,1,Art of Resume Building,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,Instagram | Whatsapp | Email,,Students,2023,Siwan,8.4,7,0-2 Lakh,14,no,,
Hemant ,hemant@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,,Students,2025,Ambikapur,6.6,3,2-5 Lakh,5,yes,,
Gaurav,gaurav@xyz.com,1,Art of Resume Building,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,,Students,2024,Bhilai,6.7,7,2-5 Lakh,20,yes,,
Harshal,harshal@xyz.com,1,Art of Resume Building,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,,Students,2025,Raipur,8.3,7,2-5 Lakh,14,no ,,
Jitesh,jitesh@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Youtube,,Students,2024,Daman,6.3,7,2-5 Lakh,16,yes,,
Dhanshree,dhanshree@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Whatsapp | Others,College,Students,2025,Diu,8.9,3,2-5 Lakh,9,yes,,
Ashish,ashish@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Whatsapp,,Students,2024,Silvassa,9.5,5,2-5 Lakh,8,no,,
Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,,Students,2023,Delhi,8.5,3,2-5 Lakh,9,no,,
Pooja ,pooja@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,,Students,2026,New Delhi,8.5,3,2-5 Lakh,7,no,,
Shubham,shubham@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,,Students,2023,Panji,8.8,4,2-5 Lakh,8,yes,,
Prachi,prachi@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2025,Madgaon,7.9,7,0-2 Lakh,6,no,,
Priya,priya@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Instagram | Whatsapp,,Students,2024,Ahemdabad,7.5,4,0-2 Lakh,8,no,,
Ashwini ,ashwini@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Youtube | Whatsapp | Email,,Students,2023,Amreli,8.3,5,2-5 Lakh,21,no,,
Chetan,chetan@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,,Students,2024,Dwarka,6.4,3,5-7 Lakh,5,no,,
Aakanksha ,aakanksha@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,,Students,2025,Godhra,7.5,4,7 Lakh+,21,no,,
Aishwarya,aishwarya@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,,Students,2025,Junagadh,9.9,3,0-2 Lakh,9,yes,,
punam,punam@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp,,Students,2026,Kheda,7.6,4,0-2 Lakh,7,no ,,
Kanika ,kanika@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Facebook,,Students,2024,Morbi,7.9,7,0-2 Lakh,5,no ,,
Laxmikant,laxmikant@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Whatsapp,,Students,2025,Navsari,7.4,7,5-7 Lakh,19,yes,,
Aayush,aayush@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Instagram | LinkedIn | Cloud Counselage Website,,Students,2023,Surat,8.7,7,0-2 Lakh,5,no,,
Mrunali,mrunali@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp,,Students,2023,Valsad,9.5,7,0-2 Lakh,21,yes,,
Durga,durga@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,,Students,2026,Ambala,6.9,3,0-2 Lakh,9,no,,
Ruchit,ruchit@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,,Students,2024,Chandigarh,9.2,5,0-2 Lakh,9,no,,
Mayuresh,mayuresh@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Others,College,Students,2025,Faridabad,6.9,4,0-2 Lakh,17,no,,
ROHIT,rohit@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Whatsapp,,Students,2024,Gurugram,7.2,5,0-2 Lakh,13,no,,
Nutan,nutan@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,,Students,2023,Hisar,7.5,4,0-2 Lakh,11,no,,
Yogesh,yogesh@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,,Students,2025,Jind,6.5,3,0-2 Lakh,15,yes,,
Pranali,pranali@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2023,Kaithal,7.5,4,0-2 Lakh,19,yes,,
Gaurang,gaurang@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",LinkedIn,,Students,2024,Karnal,6.9,3,0-2 Lakh,18,no ,,
Ritesh,ritesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,,Students,2026,Rewari,6.5,4,2-5 Lakh,23,yes,,
Harsh,harsh@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Others,Friends,Students,2023,Rohtak,7.3,3,5-7 Lakh,8,yes,,
Sanika ,sanika@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Others,College,Students,2023,Sirsa,6.7,5,7 Lakh+,9,no,,
Shruti,shruti@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2024,Sonipat,8.7,7,0-2 Lakh,7,no,,
Sonali ,sonali@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,,Students,2025,Chamba,6.7,3,0-2 Lakh,13,no,,
Sushant ,sushant@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Whatsapp,,Students,2025,Kangra,9,4,0-2 Lakh,19,yes,,
Omkar,omkar@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",LinkedIn,,Students,2024,Hamirpur,7.2,4,0-2 Lakh,25,no,,
Krutika ,krutika@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,,Students,2023,kullu,8.5,5,2-5 Lakh,22,no,,
Sachin,sachin@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,,Students,2026,Mandi,6.5,4,5-7 Lakh,6,no,,
Omkar,omkar@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,,Students,2024,Una,9.5,5,0-2 Lakh,20,no,,
Varun,varun@xyz.com,1,Art of Resume Building,Attending,,Whatsapp | Others,College,Students,2023,Anantnag,8.1,7,0-2 Lakh,15,yes,,
Anand,anand@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Youtube | Facebook | Instagram | LinkedIn | Whatsapp | Email,,Students,2023,Doda,9.3,4,0-2 Lakh,19,no ,,
Karuna,karuna@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Whatsapp,,Students,2024,Gulmarg,9.1,3,0-2 Lakh,13,no ,,
Vishal,vishal@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Whatsapp,,Students,2023,Punch,7.8,5,0-2 Lakh,12,yes,,
Shweta,shweta@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Others,College,Students,2024,Srinagar,8.5,7,0-2 Lakh,10,no,,
Madhuri,madhuri@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Email,,Students,2025,Udhampur,8.7,3,0-2 Lakh,10,no,,
Vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Others,College,Students,2025,Ballari,9.4,7,5-7 Lakh,25,no,,
Rutuja,rutuja@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Others,College,Students,2026,Hasan,7.7,5,0-2 Lakh,9,no,,
Somnath ,somnath@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2023,Kolar,7.5,3,0-2 Lakh,8,yes,,
Rahul ,rahul@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Facebook,,Students,2025,Mysuru,7.2,5,2-5 Lakh,7,yes,,
Shivani,shivani@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Whatsapp,,Students,2023,Kochi,7.6,4,5-7 Lakh,21,no ,,
Kalpesh,kalpesh@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,,Students,2024,Thrissur,7.3,5,0-2 Lakh,16,yes,,
Sunny,sunny@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,,Students,2025,Bhopal,9.4,3,0-2 Lakh,21,yes,,
Sarvesh,sarvesh@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Whatsapp,,Students,2026,Dhar,6.6,4,0-2 Lakh,8,no,,
Sanjay,sanjay@xyz.com,1,Art of Resume Building,Attending,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,,Students,2023,Indore,6.6,5,0-2 Lakh,7,no,,
amit,amit@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Cloud Counselage Website,,Students,2023,Guna,8.5,3,0-2 Lakh,20,no,,
Akash,akash@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,,Students,2025,Narwar,8.1,4,0-2 Lakh,13,no,,
Shraddha ,shraddha@xyz.com,1,Art of Resume Building,NAN,"Vidyalankar Institute of Technology, Mumbai",Email,,Students,2025,Orchha,7.9,7,0-2 Lakh,24,no,,
Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,,Students,2024,Sagar,7.1,7,0-2 Lakh,17,no,,
Pratiksha,pratiksha@xyz.com,1,Art of Resume Building,NAN,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,,Students,2026,Ujjain,7.7,7,0-2 Lakh,21,no,,
Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Others,College,Students,2023,Vidisha,8,7,0-2 Lakh,8,yes,,
Nisha,nisha@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Others,College,Students,2024,Akola,6.5,7,0-2 Lakh,9,yes,,
Rehan,rehan@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Others,College,Students,2024,Aurangabad,9.4,7,0-2 Lakh,21,no ,,
Vinit ,vinit@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",LinkedIn,,Students,2025,Bhandara,6.8,5,0-2 Lakh,7,no ,,
Shweta,shweta@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Others,College,Students,2025,Bhsawal,6.7,4,0-2 Lakh,25,yes,,
Pratiksha ,pratiksha@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Instagram | Email,,Students,2023,Bid,7.9,7,0-2 Lakh,21,yes,,
Ninad,ninad@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2023,Buldhana,9.3,5,0-2 Lakh,30,no,,
Satish ,satish@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,,Students,2024,Dhule,6.9,4,0-2 Lakh,24,no,,
Vignesh,vignesh@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp,,Students,2026,Jalgaon,8.9,4,0-2 Lakh,8,no,,
Dinesh,dinesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Whatsapp,,Students,2024,Kalyan,8.3,7,0-2 Lakh,19,yes,,
Ayushi,ayushi@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,,Students,2025,Thane,7.2,4,0-2 Lakh,21,no,,
Yash,yash@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2023,Navi Mumbai,8.1,7,0-2 Lakh,17,no,,
ritesh,ritesh@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Whatsapp,,Students,2024,Nagpur,9.6,3,0-2 Lakh,9,no,,
Leah,leah@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Email,,Students,2023,Nanded,7.5,3,0-2 Lakh,8,no,,
Simran,simran@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Cloud Counselage Website,,Students,2024,Kolhapur,7.9,7,0-2 Lakh,8,yes,,
Puja,puja@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Whatsapp,,Students,2026,Karli,9.3,3,0-2 Lakh,8,yes,,
Krutika,krutika@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2023,Matheran,9.6,4,0-2 Lakh,8,no ,,
Kapil,kapil@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Cloud Counselage Website,,Students,2025,Nashik,9.1,7,0-2 Lakh,24,no ,,
Pallavi ,pallavi@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp,,Students,2025,Solapur,7.5,7,0-2 Lakh,9,yes,,
Himani ,himani@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Whatsapp,,Students,2024,Satara,7.6,7,0-2 Lakh,17,no,,
Sachi,sachi@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Email,,Students,2023,Sangola,7.2,7,0-2 Lakh,11,no,,
Yogita,yogita@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Whatsapp,,Students,2024,Vasai,7.1,5,0-2 Lakh,18,no,,
Bhagyashri,bhagyashri@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2024,Shillong,7.1,4,0-2 Lakh,12,no,,
shashank,shashank@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,,Students,2025,Puri,9.5,7,0-2 Lakh,23,no,,
Sonali,sonali@xyz.com,1,Art of Resume Building,Attending,D Y PATIL INSTITUTE OF MCA AND MANAGEMENT AKURDI PUNE,Whatsapp,,Students,2023,konark,9.2,5,0-2 Lakh,8,no,,
Satish,satish@xyz.com,1,Art of Resume Building,Attending,AP SHAH INSTITUTE OF TECHNOLOGY ,Whatsapp,,Students,2023,Cuttack,7.9,5,0-2 Lakh,9,yes,,
Supriya,supriya@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,LinkedIn,,Students,2023,Amritsar,7.8,3,0-2 Lakh,19,no ,,
Kajal,kajal@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Whatsapp,,Students,2025,Patiala,9.1,4,0-2 Lakh,25,yes,,
Aditya,aditya@xyz.com,1,Art of Resume Building,Attending,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",Whatsapp,,Students,2025,Sangrur,6.9,7,0-2 Lakh,22,yes,,
Pratik,pratik@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Email,,Students,2023,Ajmer,8.4,4,7 Lakh+,6,no,,
Sonal,sonal@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Others,College,Students,2024,Amer,6.7,4,0-2 Lakh,9,no,,
Ashwini,ashwini@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",Whatsapp,,Students,2024,Barmer,9.2,7,0-2 Lakh,20,no,,
Sagar,sagar@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",LinkedIn | Email | Cloud Counselage Website,,Students,2023,Bikaner,7.3,5,0-2 Lakh,15,yes,,
Dinesh,dinesh@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Others,College,Students,2025,Jaipur,7.9,4,0-2 Lakh,17,no,,
Himanshu,himanshu@xyz.com,1,Art of Resume Building,Attending,St.Francis Institute of Technology,Youtube | Facebook | Instagram | Whatsapp | Email,,Students,2023,Jhalwar,7.6,7,0-2 Lakh,13,no,,
Anushka,anushka@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Email,,Students,2025,Jodhpur,9.3,5,0-2 Lakh,11,no,,
Aaron,aaron@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Email,,Students,2023,Sikar,6.6,3,0-2 Lakh,10,yes,,
Darsh,darsh@xyz.com,1,Art of Resume Building,Attending,A. C. Patil College of Engineering,Email,,Students,2023,Gangtok,7.8,7,2-5 Lakh,10,no ,,
Rajkumar,rajkumar@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Email | Others,College,Students,2026,Hyderbad,8.7,4,0-2 Lakh,15,no ,,
Rushikesh ,rushikesh@xyz.com,1,Art of Resume Building,Attending,"LD College of engineering, Ahmedabad, Gujarat ",Cloud Counselage Website,,Students,2025,Nizambad,7.2,7,0-2 Lakh,12,yes,,
Vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,NAN,DKTE Society's Textile And Engineering Institute Ichalkaranji,Email,,Students,2025,Agartala,7.1,3,0-2 Lakh,20,yes,,
Mona ,mona@xyz.com,1,Art of Resume Building,Attending,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",Whatsapp,,Students,2024,Agra,8,7,0-2 Lakh,21,no,,
Chetan ,chetan@xyz.com,1,Art of Resume Building,Attending,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,Email,,Students,2024,Aligarh,8.5,7,0-2 Lakh,9,no,,
Apurva,apurva@xyz.com,1,Art of Resume Building,Attending,"Priyadarshini college of engineering, Nagpur ",Whatsapp,,Students,2023,Gonda,8.5,7,0-2 Lakh,9,no,,
Aatif,aatif@xyz.com,1,Art of Resume Building,Attending,"Vidyalankar Institute of Technology, Mumbai",Email,,Students,2023,Ghazipur,9.1,3,0-2 Lakh,8,yes,,
Aditya,aditya@xyz.com,1,Art of Resume Building,Attending,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,Whatsapp,,Students,2026,Ghaziabad,9.7,4,0-2 Lakh,7,no,,
Vaibhav,vaibhav@xyz.com,1,Art of Resume Building,Attending,Silicon Institute of Technology,Email,,Students,2024,Gonda,8.7,7,0-2 Lakh,21,no,,
Swapnali,swapnali@xyz.com,1,Art of Resume Building,Attending,ADHIYAMAAN COLLEGE OF ENGINEERING,Whatsapp,,Students,2024,Gorakhpur,6.5,3,0-2 Lakh,5,no,,
Manish,manish@xyz.com,1,Art of Resume Building,Attending,Don Bosco College of Engineering Fatorda Goa,Whatsapp,,Students,2025,Hamirpur,8.8,5,0-2 Lakh,16,no,,
Aatif,aatif@xyz.com,1,Art of Resume Building,Attending,Pillai College of Engineering New Panvel,Whatsapp,,Students,2023,Deoria,9.3,7,0-2 Lakh,21,no,,
Sonali,sonali@xyz.com,1,Art of Resume Building,Attending,St Xavier's College ,Whatsapp,,Students,2023,Budaun,7.6,4,0-2 Lakh,8,yes,,
SANKET,sanket@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Email,,Students,2024,Mathura,9.2,5,0-2 Lakh,13,yes,,
Pooja,pooja@xyz.com,1,Art of Resume Building,Attending,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",LinkedIn | Whatsapp,,Students,2023,Mainpuri,7.3,7,0-2 Lakh,24,yes,,
Harshal,harshal@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Email,,Students,2025,Varanasi,7.6,7,0-2 Lakh,17,no,,
Abhishek ,abhishek@xyz.com,1,Art of Resume Building,Attending,"KLE Society's College of BCA, RLS Institute, Belagavi",Email,,Students,2023,Almora,7.1,7,0-2 Lakh,11,no,,
Vaishnavi,vaishnavi@xyz.com,1,Art of Resume Building,Attending,G H Raisoni institut of engineering and technology pune,Email,,Students,2025,Alipore,8.3,3,0-2 Lakh,21,no,,
Rushikesh,rushikesh@xyz.com,1,Art of Resume Building,Attending,GOVERNMENT POLYTECHNIC GANDHINAGAR,Whatsapp,,Students,2024,Haora,9.2,3,0-2 Lakh,8,yes,,
Priyanka ,priyanka@xyz.com,1,Art of Resume Building,Attending,"Vishwakarma Institute of Technology, Pune",Others,College,Students,2023,Hugli,9.3,5,0-2 Lakh,8,no,,
Vishal,vishal@xyz.com,1,Art of Resume Building,NAN,St.Francis Institute of Technology,Youtube | Facebook,,Students,2023,Palashi,7.3,4,0-2 Lakh,21,no,,
Pratik,pratik@xyz.com,1,Art of Resume Building,Attending,New horizon institute of Technology and Management ,Whatsapp,,Students,2024,Santipur,7.4,3,0-2 Lakh,30,yes,,
PRAMOD,pramod@xyz.com,1,Art of Resume Building,Attending,Late G. N. Sapkal College Of Engineering,Whatsapp,,Students,2025,Siliguri,8.3,4,0-2 Lakh,24,yes,,
Samiksha,samiksha@xyz.com,1,Art of Resume Building,Attending,"Symbiosis Institute of Technology, Pune",Others,College,Students,2023,Silguri,7.4,3,0-2 Lakh,8,no ,,
Rucha,rucha@xyz.com,1,Art of Resume Building,Attending,"MIT Academy Of Engineering ,Alandi",Whatsapp,,Students,2026,Siuri,6.7,3,0-2 Lakh,19,no ,,
Darshan ,darshan@xyz.com,1,Art of Resume Building,Attending,Wilson college ,Whatsapp,,Students,2025,Talmuk,9.7,7,0-2 Lakh,17,yes,,
